Year,FNARX,FSENX,ICPAX,PRNEX,RYEIX,VGENX
1999,0.35240272725875443,0.3191552007476719,0.736526691839104,0.30874738720733363,0.16270790595937412,0.17356567261513578
2000,0.47156269577914967,0.5631460837888533,-0.08282961026937441,0.34833897983868245,0.2905618494036526,0.509953091644012
2001,-0.0743208559663997,-0.08594963011881684,-0.1159011226309582,-0.003764289566799528,-0.11924975671640947,0.05453359483791287
2002,-0.10984022743077082,-0.10429205351333704,-0.24370419718251235,-0.056871231538652034,-0.12993265559594813,0.079752439633058
2003,0.2678414901842947,0.20449480447046486,0.27367313700632834,0.3127782154012422,0.22308485697766978,0.34793954007479067
2004,0.2566012783138587,0.32726481798563967,0.12049181320781566,0.35557205152245275,0.3230858122816127,0.36252194106003044
2005,0.583589719760534,0.6728929531721146,0.5380229482366095,0.4313010364455685,0.48226780869901487,0.5305820701945017
2006,0.17759581035386618,0.19677402377786257,1.0645814764261097,0.17139368687141476,0.10984768918601095,0.17610467944113983
2007,0.6382312726949366,0.633155787504851,-3.503998587373924,0.5396519945918208,0.4394659583513625,0.5148017520746893
2008,-0.5356694173467895,-0.5442058402490275,-0.1934721104861189,-0.5065792691476703,-0.4421321360620639,-0.42150315525924
2009,0.4562253107888583,0.3989548151230009,0.15293239871253128,0.4215144530977286,0.3268264470346154,0.3247697217008012
2010,0.18452775278927636,0.14170050156795422,0.4487221166679518,0.17014156622336207,0.14899470654645142,0.1369121764106025
2011,-0.08969181447756791,-0.049700194797785424,0.06483281198042423,-0.11138974195418105,-0.05395528746894407,0.024624046651006593
2012,-0.026322348143384633,-0.0043762784937001475,-0.06405678145905913,0.019112506000681817,-0.029188895365316547,-0.00734067155868301
2013,0.1683825204467202,0.36482165463958105,0.33396935448303733,0.23391220502786192,0.20150199759862186,0.17582570101666906
2014,-0.043446376577731205,-0.02662368167196072,-0.041585348932391186,0.1360730438922828,-0.1664556117320629,-0.07641607484900015
2015,-0.2267958352848728,-0.21438885689021225,-0.2618508516206671,-0.17856383099726958,-0.3084002567913259,-0.2216760383366969
2016,0.3075619061449919,0.34045996478425056,0.38135228272812927,0.26446596713661297,0.3064019686104078,0.3351580901213349
2017,-0.016087805549985124,-0.03840950234981744,-0.09021995999126065,0.0953071761156099,-0.0763060167625127,0.01812837711759263
2018,-0.26304601963183394,-0.26757126824869537,-0.32743798353830966,-0.17830497797963551,-0.2735569267773663,-0.18834429815031528
2019,0.16712706948065947,0.06730445291630849,0.11051185389494189,0.15878580675700804,0.03441147740773731,0.10617078104040512
2020,-0.2026907241946312,-0.3212177366567057,-0.2469183959770288,-0.022167692224415503,-0.3409458121199299,-0.31286171741582547
2021,0.3728991424368988,0.5412380712577434,0.3214849862727329,0.25210265657403497,0.5011358816369684,0.2783636441730706
2022,0.38703560432180173,0.5823157336535278,0.2600560183887839,0.06980528863385627,0.44784746077430726,0.22415135906975525
2023,0.10921260914946318,0.05769256340107609,0.029817797575717453,0.12212705863696116,0.06516610677177503,0.14382707850947662
2024,0.024349232709416135,0.020218276082688558,0.16690401259642784,0.0630215809122654,-0.010243076091812853,0.28042914916648654
2025,0.2829238178193021,0.0996633997714047,0.16936662136722247,0.265410477110952,0.05571128684753757,0.21887503714257828
