Year,ETHSX,FACDX,FBDIX,FSHCX,FSMEX,FSPHX,PHSTX,PRHSX,VGHCX
1999,0.187653723794865,0.05962811027173687,1.0130677025773096,-0.289302462133217,0.16375956179839513,0.05561613637969365,-0.029972921897593263,0.21032967906286193,0.1625246966327043
2000,0.8578589424944354,0.5081848218281719,0.5398555659594424,0.7232975023062802,0.8659955058046984,0.6480107811462539,0.5606347880626525,0.8024874622589826,0.9226503582045358
2001,0.017441631137969704,-0.11553419256762554,-0.12763179895214827,0.01622599366202926,0.06040648122677661,-0.11356529249804526,-0.12972133959733279,0.013122608285770943,0.0032779199534775927
2002,-0.2464766045285609,-0.1780888972677216,-0.4179940378155441,-0.1222891673778469,-0.05067344005061347,-0.1598078843608255,-0.20300984416201506,-0.26912226072999135,-0.05030140251614579
2003,0.28571423829042253,0.1269935739349013,0.4179413790738091,0.2753383523699886,0.34652673170237347,0.12955783570171886,0.1615192004709285,0.3540541557972974,0.24377892571293214
2004,0.06822789085470204,0.08117869146652601,0.12393069983615157,0.4428430334523752,0.1882674294427289,0.08701291836703695,0.1527792619844912,0.15273625903842136,0.13125813807534015
2005,0.1091786508404593,0.19137478426245513,0.09301444796320668,0.4001564193723639,0.13570621026018914,0.3279393525071044,0.24657883198341013,0.22693468873066158,0.22281649737600873
2006,0.0030218797546484044,0.19523036753117196,0.037676757476022615,0.08685982120160096,0.13960873754015934,0.20001628068824617,0.13290499053170501,0.1431055786865223,0.1451539706078402
2007,0.2940628653673465,0.21732480678904587,-0.005397321773303987,0.28048282384892564,0.3025523791138207,0.27087748992178917,0.12477004090699295,0.329349815413817,0.13320948265163235
2008,0.1062514360504565,-0.31920631798416155,-0.11684556689506453,-0.4318724140150645,-0.2234394229740576,-0.2957302881747267,-0.027949714671144488,-0.2797814764740063,-0.0961189315320009
2009,0.09106000945222514,0.30383082365616265,0.10927233723786256,0.4704285649759139,0.3089558578358773,0.3075599078928397,0.24390215916817093,0.30514342965986385,0.21091010796404341
2010,0.17933900430189675,0.16286983804039035,0.15808007645735134,0.12982846320945862,0.12733439343843855,0.15679648075579267,0.07891102524280535,0.15685043497632867,0.07470714261522593
2011,0.15839270063325883,0.21387544806161474,0.2599445679837409,0.08371253563007208,0.020663103403629535,0.18745844371193154,0.0935006453772722,0.13483398502446708,0.15531721049095037
2012,0.3074428326072973,0.3095540329125117,0.27015581643690956,0.13441886256744762,0.1661840352870796,0.3167418835759095,0.26887608683357156,0.3425050539235044,0.14384090831416185
2013,0.6228669740012731,0.7111428028902309,0.7580747815399627,0.41505977746068945,0.5391541964612141,0.7103086941708452,0.5640634921167023,0.6010797296666923,0.5334153507376458
2014,0.5452755816587018,0.5114219260116615,0.38562173855236526,0.39912248148108276,0.5555280184430831,0.5844039024840373,0.41240942424581295,0.5127470778546073,0.4786467884324397
2015,0.21541125732071142,0.14291880149454195,0.158313939232976,0.12404501058602979,0.2732475691978242,0.2028186092424069,0.24745321868425751,0.287851877140598,0.21614178926174454
2016,-0.0017178792275704957,-0.08614729588602887,-0.11631607658905108,0.07508424736532304,0.17378124203370238,-0.08491834567149803,0.0013314962069903569,-0.04224405478274906,-0.004314604162882207
2017,0.18049868439800543,0.22839852264182614,0.20116323169505756,0.42485184080110905,0.34515347552861075,0.25676373013142606,0.3648857386947577,0.37144433819893274,0.2580699522397043
2018,0.08383297793063282,0.09449179411024922,-0.16612648339107794,0.22403812275013357,0.21808907056166138,0.1379115096156518,0.04156274844861896,0.04196010889223434,0.06664533026503161
2019,0.3411628355400551,0.29550358129033016,0.46875148982587,0.21296142724877054,0.3435415169688314,0.3442165744268624,0.38840589836454,0.3921954926208484,0.3814098483355537
2020,0.21340978196899618,0.28825995117361725,0.5513539448518909,0.182533047592228,0.40221155856045154,0.40711887123880697,0.27041663159169627,0.4185255415407454,0.22115423153990688
2021,0.3442491511206367,0.20579914932537502,-0.021364764409607884,0.30542625648500055,0.37368424710168346,0.2446518534698059,0.3656918983393047,0.2481144120969223,0.24487640918316078
2022,-0.04757617055106589,-0.13032350105997004,-0.13720145002814788,0.05418828577382695,-0.22445697427047206,-0.11032576396631966,0.043006169621337076,-0.10203032907128573,0.041461946570689134
2023,0.08425143002973412,0.05079698874813232,0.1961965788188469,0.03586677893313661,0.01258377438490954,0.05425219408516324,0.1601614976651773,0.09731287786765552,0.1293434016933428
2024,0.07200327208030344,0.17319362634367774,0.13294592544763617,-0.008333053551985548,0.21562338176080798,0.1590482995596212,0.04862264102870162,0.15215423498436365,0.09449410856277018
2025,0.18785413549414498,0.3102546004488287,0.6512721578116378,0.04782842389329489,0.14434509621199698,0.25277590423755103,0.1707104519044318,0.3357570825623395,0.21778916968659479
