Year,RE_Median_Return
1999,-0.04549560098474403
2000,0.3226621702036603
2001,0.12660558852668968
2002,0.053777595205553474
2003,0.3727173003981967
2004,0.37641402781218125
2005,0.22502520437619222
2006,0.46676893406445497
2007,-0.11461564709102845
2008,-0.37379822864568135
2009,0.369300187965677
2010,0.28660083000750913
2011,0.08499938314705835
2012,0.1486612352906187
2013,0.03774931640606116
2014,0.3591929229573849
2015,0.08625717917183984
2016,0.10657212115207959
2017,0.07557391156112492
2018,-0.024583952866323422
2019,0.3692353279695566
2020,-0.05532177622851897
2021,0.5185983908721588
2022,-0.17832624900465144
2023,0.1168117404090121
2024,0.055643410957225026
2025,0.06343660814303065
