Year,TECH_Median_Return
1999,1.2745517747190007
2000,-0.06625089105103898
2001,-0.1744257426807505
2002,-0.4234496386204796
2003,0.4336567634704247
2004,0.02627732881261413
2005,0.07778508005841278
2006,0.07397361263162683
2007,0.1916933600405264
2008,-0.47368422721023173
2009,0.6895602907223966
2010,0.1698022322628252
2011,-0.05628651375332161
2012,0.1022899928404788
2013,0.33190468648003124
2014,0.33032526574942733
2015,0.18064481412648048
2016,0.28232318221042174
2017,0.4836995194611933
2018,0.04303778929829205
2019,0.5665460810470808
2020,0.5890933796555782
2021,0.40930156731862977
2022,-0.29004582538510126
2023,0.5614531409226569
2024,0.47199541385206945
2025,0.39696818231984454
