Fund,H_without_fund,drop_in_diversification
DPREX,0.6206349206349207,0.0183261183261183
PHRAX,0.6285714285714286,0.010389610389610393
SOAAX,0.6317460317460317,0.00721500721500723
FREAX,0.6349206349206349,0.004040404040404066
TRREX,0.6357142857142857,0.0032467532467532756
RPFRX,0.6404761904761904,-0.0015151515151514694
STMDX,0.6428571428571429,-0.003896103896103953
IARAX,0.6460317460317461,-0.007070707070707116
CSEIX,0.6460317460317461,-0.007070707070707116
FRESX,0.65,-0.01103896103896107
DFREX,0.6515873015873016,-0.012626262626262652
