,FDCPX,FSCSX,FSELX,FSPTX,ICTEX,KTCAX,MTCAX,ROGSX,RSIFX,SHGTX,SLMCX
FDCPX,0.0,0.75,0.8214285714285714,0.75,0.8571428571428571,0.7857142857142857,0.8214285714285714,0.6785714285714286,0.75,0.8571428571428571,0.7857142857142857
FSCSX,0.75,0.0,0.8928571428571429,0.6785714285714286,0.7857142857142857,0.7142857142857143,0.6785714285714286,0.7142857142857143,0.8214285714285714,0.7857142857142857,0.6785714285714286
FSELX,0.8214285714285714,0.8928571428571429,0.0,0.8571428571428571,0.8214285714285714,0.8928571428571429,0.8928571428571429,0.8214285714285714,0.7142857142857143,0.8928571428571429,0.75
FSPTX,0.75,0.6785714285714286,0.8571428571428571,0.0,0.6428571428571429,0.6071428571428571,0.6428571428571429,0.6785714285714286,0.8214285714285714,0.7857142857142857,0.6785714285714286
ICTEX,0.8571428571428571,0.7857142857142857,0.8214285714285714,0.6428571428571429,0.0,0.6428571428571429,0.7142857142857143,0.75,0.7857142857142857,0.75,0.7142857142857143
KTCAX,0.7857142857142857,0.7142857142857143,0.8928571428571429,0.6071428571428571,0.6428571428571429,0.0,0.42857142857142855,0.75,0.7857142857142857,0.6785714285714286,0.6071428571428571
MTCAX,0.8214285714285714,0.6785714285714286,0.8928571428571429,0.6428571428571429,0.7142857142857143,0.42857142857142855,0.0,0.5714285714285714,0.8571428571428571,0.7857142857142857,0.6428571428571429
ROGSX,0.6785714285714286,0.7142857142857143,0.8214285714285714,0.6785714285714286,0.75,0.75,0.5714285714285714,0.0,0.7857142857142857,0.8928571428571429,0.7857142857142857
RSIFX,0.75,0.8214285714285714,0.7142857142857143,0.8214285714285714,0.7857142857142857,0.7857142857142857,0.8571428571428571,0.7857142857142857,0.0,0.8928571428571429,0.8214285714285714
SHGTX,0.8571428571428571,0.7857142857142857,0.8928571428571429,0.7857142857142857,0.75,0.6785714285714286,0.7857142857142857,0.8928571428571429,0.8928571428571429,0.0,0.5357142857142857
SLMCX,0.7857142857142857,0.6785714285714286,0.75,0.6785714285714286,0.7142857142857143,0.6071428571428571,0.6428571428571429,0.7857142857142857,0.8214285714285714,0.5357142857142857,0.0
