,BULIX,EVUAX,FIUIX,FKUTX,FSUTX,FUGAX,GASFX,ICTUX,MMUFX,PRUAX
BULIX,0.0,0.75,0.6785714285714286,0.7142857142857143,0.7142857142857143,0.7037037037037037,0.75,0.7142857142857143,0.75,0.6785714285714286
EVUAX,0.75,0.0,0.8214285714285714,0.8214285714285714,0.7857142857142857,0.8148148148148148,0.7142857142857143,0.7857142857142857,0.5714285714285714,0.7142857142857143
FIUIX,0.6785714285714286,0.8214285714285714,0.0,0.75,0.6785714285714286,0.6666666666666666,0.6785714285714286,0.8928571428571429,0.6428571428571429,0.7142857142857143
FKUTX,0.7142857142857143,0.8214285714285714,0.75,0.0,0.39285714285714285,0.48148148148148145,0.6428571428571429,0.7142857142857143,0.8214285714285714,0.75
FSUTX,0.7142857142857143,0.7857142857142857,0.6785714285714286,0.39285714285714285,0.0,0.25925925925925924,0.5357142857142857,0.75,0.8214285714285714,0.8214285714285714
FUGAX,0.7037037037037037,0.8148148148148148,0.6666666666666666,0.48148148148148145,0.25925925925925924,0.0,0.6666666666666666,0.7037037037037037,0.7037037037037037,0.8148148148148148
GASFX,0.75,0.7142857142857143,0.6785714285714286,0.6428571428571429,0.5357142857142857,0.6666666666666666,0.0,0.7857142857142857,0.6785714285714286,0.6428571428571429
ICTUX,0.7142857142857143,0.7857142857142857,0.8928571428571429,0.7142857142857143,0.75,0.7037037037037037,0.7857142857142857,0.0,0.75,0.8214285714285714
MMUFX,0.75,0.5714285714285714,0.6428571428571429,0.8214285714285714,0.8214285714285714,0.7037037037037037,0.6785714285714286,0.75,0.0,0.6785714285714286
PRUAX,0.6785714285714286,0.7142857142857143,0.7142857142857143,0.75,0.8214285714285714,0.8148148148148148,0.6428571428571429,0.8214285714285714,0.6785714285714286,0.0
